
# Curve 0 of 1, 100 points
# x y type
 35  3.73832e-05  i
 34.6566  0.00231949  i
 34.3131  0.00488998  i
 33.9697  0.00757516  i
 33.6263  0.0102521  i
 33.2828  0.0128354  i
 32.9394  0.0152682  i
 32.596  0.0175154  i
 32.2525  0.0195585  i
 31.9091  0.0213918  i
 31.5657  0.0230192  i
 31.2222  0.0244515  i
 30.8788  0.0257038  i
 30.5354  0.0267942  i
 30.1919  0.0277418  i
 29.8485  0.0285655  i
 29.5051  0.0292834  i
 29.1616  0.0299119  i
 28.8182  0.0304655  i
 28.4747  0.0309565  i
 28.1313  0.0313952  i
 27.7879  0.0317895  i
 27.4444  0.0321458  i
 27.101  0.0324689  i
 26.7576  0.032762  i
 26.4141  0.0330277  i
 26.0707  0.0332675  i
 25.7273  0.0334825  i
 25.3838  0.0336737  i
 25.0404  0.0338418  i
 24.697  0.0339875  i
 24.3535  0.0341117  i
 24.0101  0.0342156  i
 23.6667  0.0343005  i
 23.3232  0.0343678  i
 22.9798  0.0344195  i
 22.6364  0.0344575  i
 22.2929  0.0344837  i
 21.9495  0.0345005  i
 21.6061  0.03451  i
 21.2626  0.0345142  i
 20.9192  0.0345151  i
 20.5758  0.0345146  i
 20.2323  0.0345143  i
 19.8889  0.0345156  i
 19.5455  0.0345194  i
 19.202  0.0345267  i
 18.8586  0.034538  i
 18.5152  0.0345535  i
 18.1717  0.0345733  i
 17.8283  0.0345973  i
 17.4848  0.0346251  i
 17.1414  0.0346562  i
 16.798  0.0346901  i
 16.4545  0.034726  i
 16.1111  0.0347633  i
 15.7677  0.034801  i
 15.4242  0.0348384  i
 15.0808  0.0348746  i
 14.7374  0.0349084  i
 14.3939  0.0349389  i
 14.0505  0.0349646  i
 13.7071  0.0349843  i
 13.3636  0.0349963  i
 13.0202  0.0349988  i
 12.6768  0.0349897  i
 12.3333  0.0349668  i
 11.9899  0.0349276  i
 11.6465  0.0348694  i
 11.303  0.0347894  i
 10.9596  0.0346847  i
 10.6162  0.0345522  i
 10.2727  0.034389  i
 9.92929  0.0341921  i
 9.58586  0.0339584  i
 9.24242  0.0336851  i
 8.89899  0.0333691  i
 8.55556  0.0330072  i
 8.21212  0.0325959  i
 7.86869  0.0321311  i
 7.52525  0.0316082  i
 7.18182  0.0310213  i
 6.83838  0.0303636  i
 6.49495  0.0296264  i
 6.15152  0.0287999  i
 5.80808  0.0278722  i
 5.46465  0.0268301  i
 5.12121  0.0256587  i
 4.77778  0.0243426  i
 4.43434  0.0228662  i
 4.09091  0.0212153  i
 3.74747  0.0193784  i
 3.40404  0.0173492  i
 3.06061  0.0151293  i
 2.71717  0.0127321  i
 2.37374  0.0101868  i
 2.0303  0.00754456  i
 1.68687  0.00488457  i
 1.34343  0.0023223  i
 1  1.86916e-05  i

