
# Curve 0 of 1, 100 points
# x y type
 35  9.34579e-06  i
 34.6566  0.00193059  i
 34.3131  0.00419941  i
 33.9697  0.00662404  i
 33.6263  0.0090754  i
 33.2828  0.0114683  i
 32.9394  0.0137484  i
 32.596  0.0158836  i
 32.2525  0.017857  i
 31.9091  0.0196626  i
 31.5657  0.0213018  i
 31.2222  0.0227806  i
 30.8788  0.0241079  i
 30.5354  0.025294  i
 30.1919  0.0263499  i
 29.8485  0.0272864  i
 29.5051  0.0281138  i
 29.1616  0.028842  i
 28.8182  0.0294796  i
 28.4747  0.0300347  i
 28.1313  0.0305145  i
 27.7879  0.0309255  i
 27.4444  0.0312735  i
 27.101  0.0315639  i
 26.7576  0.0318014  i
 26.4141  0.0319906  i
 26.0707  0.0321356  i
 25.7273  0.0322403  i
 25.3838  0.0323086  i
 25.0404  0.0323442  i
 24.697  0.0323508  i
 24.3535  0.0323318  i
 24.0101  0.032291  i
 23.6667  0.0322317  i
 23.3232  0.0321575  i
 22.9798  0.0320718  i
 22.6364  0.0319778  i
 22.2929  0.0318786  i
 21.9495  0.0317771  i
 21.6061  0.031676  i
 21.2626  0.0315776  i
 20.9192  0.0314839  i
 20.5758  0.0313964  i
 20.2323  0.0313165  i
 19.8889  0.0312449  i
 19.5455  0.031182  i
 19.202  0.0311279  i
 18.8586  0.0310822  i
 18.5152  0.0310443  i
 18.1717  0.0310135  i
 17.8283  0.0309886  i
 17.4848  0.0309687  i
 17.1414  0.0309526  i
 16.798  0.0309392  i
 16.4545  0.0309275  i
 16.1111  0.0309167  i
 15.7677  0.0309062  i
 15.4242  0.0308953  i
 15.0808  0.0308838  i
 14.7374  0.0308718  i
 14.3939  0.0308592  i
 14.0505  0.0308465  i
 13.7071  0.0308342  i
 13.3636  0.0308231  i
 13.0202  0.0308139  i
 12.6768  0.0308079  i
 12.3333  0.0308062  i
 11.9899  0.0308102  i
 11.6465  0.0308217  i
 11.303  0.0308423  i
 10.9596  0.0308741  i
 10.6162  0.0309193  i
 10.2727  0.0309803  i
 9.92929  0.0310597  i
 9.58586  0.0311601  i
 9.24242  0.0312843  i
 8.89899  0.0314349  i
 8.55556  0.0316146  i
 8.21212  0.0318256  i
 7.86869  0.0320696  i
 7.52525  0.0323472  i
 7.18182  0.0326579  i
 6.83838  0.0329993  i
 6.49495  0.0333662  i
 6.15152  0.0337498  i
 5.80808  0.0341363  i
 5.46465  0.0345056  i
 5.12121  0.0348291  i
 4.77778  0.0350672  i
 4.43434  0.0351671  i
 4.09091  0.0350588  i
 3.74747  0.0346519  i
 3.40404  0.0338313  i
 3.06061  0.0324531  i
 2.71717  0.0303402  i
 2.37374  0.0272792  i
 2.0303  0.023018  i
 1.68687  0.0172671  i
 1.34343  0.00970619  i
 1  0  i

